Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-4761;Урочище Поличне;Urochyshche Polychne;заказник загальнозоологічний;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°43'3""";"E 25°59'6"""
П-4785;Збитенський;Zbytenskyi;заказник гідрологічний;місцевого значення;Рівненська обл.;р-н Острозький;"N 50°17'47""";"E 26°18'45"""
П-4796;Прип'ятський;Prypiatskyi;заказник іхтіологічний;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°54'1""";"E 25°46'17"""
П-4821;Лиса гора;Lysa hora;ботанічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°21'11""";"E 25°34'32"""
П-4868;Мостівське;Mostivske;заповідне урочище;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°17'50""";"E 26°13'37"""
П-4894;"Дубово-грабові насадження на
Поліссі";"Dubovo-hrabovi nasadzhennia na
Polissi";заповідне урочище;місцевого значення;Рівненська обл.;р-н Костопільський;"N 50°52'6""";"E 26°13'15"""
П-4895;Золотинське;Zolotynske;заповідне урочище;місцевого значення;Рівненська обл.;р-н Дубровицький;"N 51°41'13""";"E 26°21'24"""
П-4896;Більський;Bilskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°25'35""";"E 27°11'10"""
П-4905;Урочище Верба;Urochyshche Verba;заказник гідрологічний;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°15'36""";"E 25°35'25"""
П-4926;Кунинська дача;Kunynska dacha;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°26'24""";"E 26°12'32"""
П-4930;Урочище Хрінники;Urochyshche Khrinnyky;заказник орнітологічний;місцевого значення;Рівненська обл.;р-н Демидівський;"N 50°24'55""";"E 25°16'24"""
П-4931;Урочище Чортове болото;Urochyshche Chortove boloto;заказник орнітологічний;місцевого значення;Рівненська обл.;р-н Костопільський;"N 50°57'22""";"E 25°59'23"""
П-4964;Мізоцький кряж;Mizotskyi kriazh;заказник геологічний;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°15'37""";"E 26°2'3"""
