Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-361;Дібрівський;Dibrivskyi;заказник лісовий;загальнодержавного значення;Дніпропетровська обл.;р-н Покровський;"N 47°58'26""";"E 36°30'46"""
П-3626;Балка Північна Червона;Balka Pivnichna Chervona;заказник ландшафтний;загальнодержавного значення;Дніпропетровська обл.;Криворізька міськрада;"N 48°6'13""";"E 33°30'54"""
П-3688;Гора Калитва;Hora Kalytva;заповідне урочище;місцевого значення;Дніпропетровська обл.;р-н Царичанський;"N 48°55'2""";"E 34°27'13"""
П-3769;Парк ім. Шевченка;Park im. Shevchenka;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Дніпропетровська обл.;Дніпровська міськрада;"N 48°27'15""";"E 35°4'26"""
П-3819;Балка Північна Червона;Balka Pivnichna Chervona;заказник ландшафтний;місцевого значення;Дніпропетровська обл.;Криворізька міськрада;"N 48°6'6""";"E 33°31'17"""
П-3820;Візирка;Vizyrka;заказник ландшафтний;місцевого значення;Дніпропетровська обл.;Криворізька міськрада;"N 47°43'0""";"E 33°12'28"""
П-3829;Центральний;Tsentralnyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Дніпропетровська обл.;"Дніпродзержинська
міськрада";"N 48°29'45""";"E 34°37'14"""
П-3834;Пісковикова скеля;Piskovykova skelia;геологічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;Криворізька міськрада;"N 47°49'23""";"E 33°19'31"""
П-3882;Синельниківський;Synelnykivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Дніпропетровська обл.;"Синельниківська
міськрада";"N 48°19'55""";"E 35°32'47"""
П-3892;Урочище Балка Глибока;Urochyshche Balka Hlyboka;заказник ботанічний;місцевого значення;Дніпропетровська обл.;р-н Верхньодніпровський;"N 48°38'13""";"E 34°21'20"""
П-3893;Урочище Балка Гостра;Urochyshche Balka Hostra;заказник ботанічний;місцевого значення;Дніпропетровська обл.;р-н Верхньодніпровський;"N 48°46'31""";"E 34°1'49"""
П-3926;Виходи мігматиту;Vykhody mihmatytu;геологічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;р-н Криворізький;"N 48°0'30""";"E 33°17'11"""
П-3987;Балка Орлова;Balka Orlova;заказник ботанічний;місцевого значення;Дніпропетровська обл.;р-н Дніпровський;"N 48°26'52""";"E 35°15'49"""
П-4068;Старовишневецький;Starovyshnevetskyi;заказник ландшафтний;місцевого значення;Дніпропетровська обл.;р-н Синельниківський;"N 48°20'53""";"E 35°38'8"""
П-4071;Дерево культурної груші;Derevo kulturnoi hrushi;ботанічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;Криворізька міськрада;"N 47°56'52""";"E 33°24'52"""
П-4114;Новоселівський лиман;Novoselivskyi lyman;заказник загальнозоологічний;місцевого значення;Дніпропетровська обл.;р-н Новомосковський;"N 48°34'2""";"E 35°16'41"""
П-4140;"Відслонення аркозових
пісковиків";"Vidslonennia arkozovykh
piskovykiv";геологічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;р-н Широківський;"N 47°46'47""";"E 33°15'13"""
П-4151;Балка Садова;Balka Sadova;ботанічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;р-н Синельниківський;"N 48°18'54""";"E 35°47'18"""
П-4168;Балка Кирпична;Balka Kyrpychna;заказник ландшафтний;місцевого значення;Дніпропетровська обл.;р-н Дніпровський;"N 48°18'33""";"E 34°58'12"""
