Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-2145;Вербківський;Verbkivskyi;парк;місцевого значення;Хмельницька обл.;р-н Ярмолинецький;"N 49°12'53""";"E 27°3'32"""
П-2154;Березина;Berezyna;заповідне урочище;місцевого значення;Хмельницька обл.;р-н Ярмолинецький;"N 49°11'26""";"E 26°53'7"""
П-2161;Судилківські граніти;Sudylkivski hranity;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Шепетівський;"N 50°9'31""";"E 27°8'43"""
П-2174;Виноградівський;Vynohradivskyi;парк;місцевого значення;Хмельницька обл.;р-н Ярмолинецький;"N 49°17'8""";"E 27°1'52"""
П-2178;Ганнопільський;Hannopilskyi;парк;місцевого значення;Хмельницька обл.;р-н Славутський;"N 50°27'14""";"E 26°53'18"""
П-2193;Хоморські граніти;Khomorski hranity;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Шепетівський;"N 49°57'30""";"E 27°12'40"""
П-2212;Говорівський;Hovorivskyi;парк;місцевого значення;Хмельницька обл.;р-н Віньковецький;"N 48°56'59""";"E 27°21'55"""
П-2213;Голосківський;Holoskivskyi;парк;місцевого значення;Хмельницька обл.;"р-н Кам'янець-
Подільський";"N 48°44'25""";"E 26°33'13"""
П-222;Бук європейський;Buk yevropeiskyi;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 49°53'35""";"E 26°52'21"""
П-2241;Подільські криниці;Podilski krynytsi;гідрологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Летичівський;"N 49°24'6""";"E 27°33'39"""
П-2249;Сірчано-водневе джерело;Sirchano-vodneve dzherelo;гідрологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Волочиський;"N 49°26'54""";"E 26°25'29"""
П-2258;Загінецький;Zahinetskyi;парк;місцевого значення;Хмельницька обл.;р-н Деражнянський;"N 49°12'4""";"E 27°8'48"""
П-2269;Витік ріки Утка;Vytik riky Utka;гідрологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Шепетівський;"N 50°14'59""";"E 27°2'34"""
П-2281;Свята криниця;Sviata krynytsia;гідрологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Славутський;"N 50°17'30""";"E 26°55'22"""
П-2298;Корчунецький;Korchunetskyi;парк;місцевого значення;Хмельницька обл.;р-н Хмельницький;"N 49°19'37""";"E 26°50'0"""
П-2307;Гайок;Haiok;заповідне урочище;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°9'34""";"E 26°47'14"""
П-2325;Три дуби;Try duby;гідрологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Славутський;"N 50°17'24""";"E 27°6'22"""
П-2332;Кривинський;Kryvynskyi;парк;місцевого значення;Хмельницька обл.;р-н Славутський;"N 50°21'27""";"E 26°42'8"""
П-2334;Куявський;Kuiavskyi;парк;місцевого значення;Хмельницька обл.;р-н Ярмолинецький;"N 49°6'12""";"E 26°43'15"""
П-2335;Лісогринівецький;Lisohrynivetskyi;парк;місцевого значення;Хмельницька обл.;р-н Хмельницький;"N 49°27'1""";"E 27°1'54"""
П-2367;Лугівський;Luhivskyi;парк;місцевого значення;Хмельницька обл.;р-н Ярмолинецький;"N 49°20'6""";"E 27°5'32"""
П-2370;Маківський;Makivskyi;парк;місцевого значення;Хмельницька обл.;р-н Дунаєвецький;"N 48°47'38""";"E 26°41'24"""
П-2373;Миньковецький;Mynkovetskyi;парк;місцевого значення;Хмельницька обл.;р-н Дунаєвецький;"N 48°51'28""";"E 27°6'36"""
П-2382;Валуни льодовикового періоду;Valuny lodovykovoho periodu;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Славутський;"N 50°14'43""";"E 26°49'16"""
П-2399;Чиста криничка;Chysta krynychka;гідрологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Деражнянський;"N 49°10'5""";"E 27°26'57"""
П-2401;"Бахматовецька колонія сірої
чаплі";"Bakhmatovetska koloniia siroi
chapli";зоологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Хмельницький;"N 49°24'59""";"E 27°13'55"""
П-2408;Отроківський;Otrokivskyi;парк;місцевого значення;Хмельницька обл.;р-н Новоушицький;"N 48°47'45""";"E 27°7'5"""
П-2417;"Вапняк-ракушняк пересічений
жилами кальциту";"Vapniak-rakushniak peresichenyi
zhylamy kaltsytu";геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Шепетівський;"N 49°56'10""";"E 27°15'45"""
