Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-437;Руський Орчик;Ruskyi Orchyk;заказник загальнозоологічний;загальнодержавного значення;Полтавська обл.;р-н Машівський;"N 49°10'47""";"E 34°59'29"""
П-4444;Парк ім. Котляревського;Park im. Kotliarevskoho;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Полтавська обл.;Полтавська міськрада;"N 49°34'46""";"E 34°31'8"""
П-463;Капусник;Kapusnyk;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Карлівський;"N 49°32'9""";"E 35°9'52"""
П-465;Довгораківський;Dovhorakivskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Кременчуцький;"N 48°57'42""";"E 33°31'44"""
П-4668;Урочище Березовий гай;Urochyshche Berezovyi hai;заказник ландшафтний;місцевого значення;Полтавська обл.;Миргородська міськрада;"N 49°59'2""";"E 33°36'55"""
П-467;Драбинівка;Drabynivka;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Кобеляцький;"N 49°14'26""";"E 34°8'48"""
П-469;Дубина;Dubyna;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°24'2""";"E 34°5'37"""
П-473;Жуківщина;Zhukivshchyna;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°16'31""";"E 33°52'12"""
П-482;Зачепилівський;Zachepylivskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Новосанжарський;"N 49°18'13""";"E 34°17'34"""
П-487;Зозулинцеві Луки;Zozulyntsevi Luky;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°24'5""";"E 34°1'33"""
П-498;Климівський;Klymivskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Карлівський;"N 49°20'9""";"E 35°5'53"""
П-499;Книшівська гора;Knyshivska hora;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°24'10""";"E 34°9'0"""
П-5064;Гора Пивиха;Hora Pyvykha;заказник ландшафтний;місцевого значення;Полтавська обл.;р-н Кременчуцький;"N 49°11'43""";"E 33°7'44"""
П-5070;Псільський;Psilskyi;заказник ландшафтний;місцевого значення;Полтавська обл.;р-н Козельщинський;"N 49°21'18""";"E 33°41'3"""
П-518;Котове;Kotove;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Зіньківський;"N 49°59'16""";"E 34°38'25"""
П-5237;Полтавський міський;Poltavskyi miskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Полтавська обл.;Полтавська міськрада;"N 49°34'16""";"E 34°34'17"""
П-5309;Михнівський;Mykhnivskyi;заказник орнітологічний;загальнодержавного значення;Полтавська обл.;р-н Решетилівський;"N 49°28'24""";"E 33°56'6"""
П-537;Балка Долина;Balka Dolyna;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Зіньківський;"N 50°18'48""";"E 34°15'34"""
П-5489;Малоперещепинський;Malopereshchepynskyi;заказник ботанічний;загальнодержавного значення;Полтавська обл.;р-н Новосанжарський;"N 49°22'0""";"E 34°31'22"""
П-552;Борівський;Borivskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Котелевський;"N 49°49'51""";"E 34°40'27"""
П-5568;Бульвар Гоголя;Bulvar Hoholia;ботанічна пам'ятка природи;місцевого значення;Полтавська обл.;Полтавська міськрада;"N 49°38'28""";"E 34°30'42"""
П-567;Великий і Малий ліс;Velykyi i Malyi lis;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Миргородський;"N 50°7'49""";"E 33°56'51"""
П-569;Великий ліс;Velykyi lis;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°25'32""";"E 34°10'3"""
П-574;Вовчанський;Vovchanskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Лубенський;"N 50°4'17""";"E 33°11'21"""
П-580;Воронянський;Voronianskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Полтавський;"N 49°44'49""";"E 34°39'11"""
П-581;Воскобійницький;Voskobiinytskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Шишацький;"N 50°2'41""";"E 34°8'23"""
П-582;Гадяцький бір;Hadiatskyi bir;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°23'10""";"E 34°4'29"""
П-588;Глибочанський;Hlybochanskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Глобинський;"N 49°23'45""";"E 33°44'42"""
П-596;Приворсклянський;Pryvorsklianskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Котелевський;"N 49°50'15""";"E 34°39'10"""
П-601;Рожаївський;Rozhaivskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Полтавський;"N 49°34'35""";"E 34°19'27"""
П-604;Розсошенський;Rozsoshenskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Полтавський;"N 49°27'34""";"E 34°31'32"""
П-607;Русиново-Дубина;Rusynovo-Dubyna;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°23'7""";"E 33°45'50"""
П-611;Саранчина долина;Saranchyna dolyna;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°15'52""";"E 33°54'37"""
П-616;Скоробір;Skorobir;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Котелевський;"N 50°5'11""";"E 34°34'47"""
П-629;Терновий кущ;Ternovyi kushch;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°15'42""";"E 33°56'18"""
П-650;Харсіцька полона;Kharsitska polona;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Чорнухинський;"N 50°16'38""";"E 32°52'58"""
П-689;Манжеліївський;Manzheliivskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Глобинський;"N 49°20'6""";"E 33°40'46"""
П-703;Новодиканський;Novodykanskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Решетилівський;"N 49°34'53""";"E 34°14'26"""
П-715;Підварівський;Pidvarivskyi;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Котелевський;"N 49°47'26""";"E 34°38'54"""
