Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1647;Урочище Суха грядь;Urochyshche Sukha hriad;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 52°4'24""";"E 30°59'17"""
П-1660;Багатовіковий дуб Три брати;Bahatovikovyi dub Try braty;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°27'55""";"E 32°23'23"""
П-1662;Березовий гай;Berezovyi hai;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°18'36""";"E 32°32'40"""
П-1669;Козлянське;Kozlianske;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°16'37""";"E 31°1'52"""
П-1681;Устинівщина;Ustynivshchyna;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°17'3""";"E 31°27'23"""
П-1697;Богданів дуб;Bohdaniv dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°38'51""";"E 31°33'36"""
П-1712;Лісовий дендрарій;Lisovyi dendrarii;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°18'50""";"E 32°31'35"""
П-1715;Тополя чорна;Topolia chorna;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 51°10'41""";"E 30°38'32"""
П-1716;Чорторійський дуб;Chortoriiskyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°37'27""";"E 31°21'57"""
П-1719;Шкуранська група дубів;Shkuranska hrupa dubiv;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°36'55""";"E 30°40'39"""
П-1724;Жорнівський бір;Zhornivskyi bir;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°36'32""";"E 33°1'34"""
П-1725;Жуків яр;Zhukiv yar;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°41'26""";"E 32°58'40"""
П-1728;Задеснянський;Zadesnianskyi;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°24'44""";"E 31°48'30"""
П-1738;Віковий дуб;Vikovyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°31'35""";"E 32°12'39"""
П-1739;Віковий дуб;Vikovyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°31'29""";"E 32°13'36"""
П-1746;Липа Т.Г.Шевченка;Lypa T.h.shevchenka;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°38'57""";"E 31°33'51"""
П-1748;Липа Павла Тичини;Lypa Pavla Tychyny;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Бобровицький;"N 50°35'35""";"E 31°22'10"""
П-1752;Охинський;Okhynskyi;заказник ентомологічний;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°39'10""";"E 32°43'50"""
П-1762;Зміївщина;Zmiivshchyna;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°40'57""";"E 33°5'33"""
П-1764;Золотинка;Zolotynka;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°25'6""";"E 31°16'28"""
П-1775;Високопрачівська дача;Vysokoprachivska dacha;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°20'54""";"E 32°30'7"""
П-1783;Макіївський дуб;Makiivskyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Носівський;"N 50°41'19""";"E 31°48'33"""
П-1789;Менська липа;Menska lypa;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°31'10""";"E 32°12'41"""
П-1802;Кобижчанська дача-2;Kobyzhchanska dacha-2;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Бобровицький;"N 50°53'30""";"E 31°28'19"""
П-1803;Ковчинський;Kovchynskyi;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°26'7""";"E 31°43'6"""
П-1808;Криничне;Krynychne;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°39'47""";"E 33°0'10"""
П-1827;Мостки;Mostky;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Сновський;"N 52°1'17""";"E 31°55'34"""
П-1835;Яблунівський;Yablunivskyi;заказник ентомологічний;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°26'17""";"E 32°13'0"""
П-1855;Горбачівський березовий гай;Horbachivskyi berezovyi hai;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 50°59'11""";"E 31°3'38"""
П-1864;"Новоборовицька група дерев-
довгожителів";"Novoborovytska hrupa derev-
dovhozhyteliv";ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Сновський;"N 51°55'15""";"E 31°58'9"""
П-1883;Мезинська Швейцарія;Mezynska Shveitsariia;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°48'35""";"E 33°3'13"""
П-1893;Група вікових дубів;Hrupa vikovykh dubiv;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°14'22""";"E 32°25'29"""
П-1900;Олишівська ділянка грабу;Olyshivska dilianka hrabu;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 51°3'48""";"E 31°14'58"""
П-1935;Гульбище-1;Hulbyshche-1;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°21'27""";"E 31°42'36"""
П-1936;Гульбище-2;Hulbyshche-2;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°22'4""";"E 31°41'15"""
П-1988;Рашково-Слобідський дуб;Rashkovo-Slobidskyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°47'4""";"E 30°52'18"""
П-2016;Дерева екзоти;Dereva ekzoty;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Семенівський;"N 51°56'49""";"E 32°28'20"""
П-2035;Червоно-Плугатарський;Chervono-Pluhatarskyi;парк;місцевого значення;Чернігівська обл.;р-н Талалаївський;"N 50°50'55""";"E 33°1'16"""
П-2053;Кут;Kut;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°31'42""";"E 32°12'2"""
П-2076;Єлінський ліс;Yelinskyi lis;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Сновський;"N 52°0'2""";"E 32°2'41"""
П-2077;Івківці;Ivkivtsi;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°30'58""";"E 32°28'43"""
П-2101;Івківці;Ivkivtsi;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°28'15""";"E 32°24'25"""
П-2117;Базарна роща;Bazarna roshcha;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Семенівський;"N 52°10'7""";"E 32°31'41"""
П-2118;Базарщина;Bazarshchyna;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°18'42""";"E 32°31'42"""
П-2130;Озеро Башукове;Ozero Bashukove;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°33'56""";"E 32°50'43"""
П-2133;Озеро Ворона;Ozero Vorona;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°21'9""";"E 32°9'31"""
П-2135;Озеро Гайтан;Ozero Haitan;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°26'56""";"E 32°22'39"""
П-2141;Ваганицький;Vahanytskyi;парк;місцевого значення;Чернігівська обл.;р-н Городнянський;"N 52°1'1""";"E 31°27'6"""
П-2163;Погон;Pohon;геологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°12'55""";"E 33°17'45"""
П-2169;Озеро Солонецьке;Ozero Solonetske;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 50°58'37""";"E 30°52'20"""
П-2170;Озеро Стибин;Ozero Stybyn;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 50°48'14""";"E 30°56'5"""
П-2171;Озеро Тиха Десна;Ozero Tykha Desna;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°21'41""";"E 31°56'38"""
П-2172;Озеро Тихе;Ozero Tykhe;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°24'9""";"E 32°7'36"""
П-2183;Бирине;Byryne;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°3'12""";"E 33°19'13"""
П-2188;Борисоглібське;Borysohlibske;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°34'11""";"E 30°50'26"""
П-219;Сорокошицький лісовий масив;Sorokoshytskyi lisovyi masyv;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 51°14'30""";"E 30°46'9"""
П-2211;Парасючка;Parasiuchka;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Бахмацький;"N 51°11'46""";"E 32°45'47"""
П-2214;Городнянський;Horodnianskyi;парк;місцевого значення;Чернігівська обл.;р-н Городнянський;"N 51°53'7""";"E 31°36'6"""
П-2219;Дігтярівський;Dihtiarivskyi;парк;місцевого значення;Чернігівська обл.;р-н Срібнянський;"N 50°34'40""";"E 32°46'10"""
П-2221;В'юнище;Viunyshche;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°18'56""";"E 30°43'57"""
П-223;Два вікових дуби;Dva vikovykh duby;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;Прилуцька міськрада;"N 50°35'19""";"E 32°24'43"""
П-2257;Дружби народів;Druzhby narodiv;парк;місцевого значення;Чернігівська обл.;р-н Городнянський;"N 52°5'53""";"E 31°45'54"""
П-2260;Ветхе;Vetkhe;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Ніжинський;"N 51°3'21""";"E 31°48'43"""
П-2267;Вороб'ївське;Vorobivske;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°40'34""";"E 30°48'16"""
П-2280;Свята криниця;Sviata krynytsia;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Бобровицький;"N 50°36'11""";"E 31°38'10"""
П-2282;Свята криниця;Sviata krynytsia;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Бобровицький;"N 50°35'58""";"E 31°22'24"""
П-2284;Синій колодязь;Synii kolodiaz;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°42'13""";"E 32°48'5"""
П-2299;Волноша;Volnosha;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°54'51""";"E 31°5'43"""
П-2322;Стахорщинське джерело;Stakhorshchynske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 51°56'5""";"E 33°2'1"""
П-2330;Кочубеївський;Kochubeivskyi;парк;місцевого значення;Чернігівська обл.;р-н Бахмацький;"N 51°20'25""";"E 32°51'49"""
П-2343;Гніздищанська дача;Hnizdyshchanska dacha;заповідне урочище;місцевого значення;Чернігівська обл.;р-н Городнянський;"N 51°53'18""";"E 31°26'46"""
П-2358;Уздруївські джерела;Uzdruivski dzherela;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°7'47""";"E 33°7'24"""
П-2360;Урочище Срібнянка;Urochyshche Sribnianka;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 51°51'21""";"E 32°55'27"""
П-2361;Ушівська криниця;Ushivska krynytsia;гідрологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 51°51'6""";"E 32°56'15"""
П-2365;"Лизогубівський (Седнівський)
парк";Lyzohubivskyi (sednivskyi) park;парк;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°39'12""";"E 31°34'0"""
П-2438;Озеро Нерадча;Ozero Neradcha;зоологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°47'6""";"E 30°41'57"""
П-2441;Сорокошицький чапельник;Sorokoshytskyi chapelnyk;зоологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 51°10'25""";"E 30°40'45"""
П-2442;Топильне;Topylne;зоологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°27'47""";"E 32°19'1"""
П-2452;Парк ім.Т.Г.Шевченка;Park im.t.h.shevchenka;парк;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°27'16""";"E 32°24'0"""
П-2454;Жевахівщина;Zhevakhivshchyna;парк;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°27'54""";"E 32°24'26"""
П-2463;Гордонова гора;Hordonova hora;геологічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°24'44""";"E 32°22'22"""
