Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-3422;Білопіль;Bilopil;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Новгородківський;"N 48°24'12""";"E 32°53'55"""
П-3452;Бірзуловські горби;Birzulovski horby;комплексна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Маловисківський;"N 48°41'25""";"E 31°34'50"""
П-3521;Балка Новоолександрівська;Balka Novooleksandrivska;заказник ландшафтний;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°6'34""";"E 32°54'30"""
П-3539;Петровський;Petrovskyi;заказник загальнозоологічний;місцевого значення;Кіровоградська обл.;р-н Петрівський;"N 48°17'34""";"E 33°18'2"""
П-3603;Ковалівський;Kovalivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Кіровоградська обл.;р-н Кіровоградський;"N 48°30'7""";"E 32°18'14"""
П-3703;Парк Перемоги;Park Peremohy;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Кіровоградська обл.;Кіровоградська міськрада;"N 48°29'22""";"E 32°15'20"""
П-3805;Веселі Боковеньки;Veseli Bokovenky;дендрологічний парк;загальнодержавного значення;Кіровоградська обл.;р-н Долинський;"N 48°13'0""";"E 32°51'45"""
П-386;Василівське;Vasylivske;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°49'36""";"E 31°53'56"""
П-404;Редьчине;Redchyne;заказник орнітологічний;загальнодержавного значення;Кіровоградська обл.;р-н Олександрівський;"N 48°49'11""";"E 31°56'28"""
П-4245;Кудинове;Kudynove;ботанічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Знам'янський;"N 48°53'51""";"E 32°44'28"""
П-4268;Витоки р. Інгулець;Vytoky r. Inhulets;комплексна пам'ятка природи;загальнодержавного значення;Кіровоградська обл.;р-н Знам'янський;"N 48°43'17""";"E 32°25'58"""
П-4303;Братерські яри;Braterski yary;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Олександрівський;"N 48°58'55""";"E 32°29'29"""
П-4390;Плетений Ташлик;Pletenyi Tashlyk;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Маловисківський;"N 48°28'55""";"E 31°36'20"""
П-4401;50 років Жовтня;50 rokiv Zhovtnia;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Кіровоградська обл.;р-н Кіровоградський;"N 48°29'41""";"E 32°10'54"""
П-4411;Кам'яна криниця;Kamiana krynytsia;гідрологічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Благовіщенський;"N 48°25'6""";"E 30°4'53"""
П-4452;Парк Космонавтів;Park Kosmonavtiv;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Кіровоградська обл.;Кіровоградська міськрада;"N 48°32'18""";"E 32°16'44"""
П-4484;Козацька скеля;Kozatska skelia;комплексна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Добровеличківський;"N 48°26'39""";"E 30°51'13"""
П-455;Гусиний острів;Husynyi ostriv;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°47'21""";"E 31°32'1"""
П-4712;Бочки;Bochky;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Знам'янський;"N 48°46'8""";"E 32°39'39"""
