Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-3308;Урочище скелі;Urochyshche skeli;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Чернігівський;"N 47°12'39""";"E 36°22'1"""
П-3309;Цілинна ділянка з ставками;Tsilynna dilianka z stavkamy;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Гуляйпільський;"N 47°36'36""";"E 36°18'35"""
П-3326;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Гуляйпільський;"N 47°35'41""";"E 36°14'5"""
П-3331;Д'яконські сади;Diakonski sady;заказник загальнозоологічний;місцевого значення;Запорізька обл.;"р-н Кам'янсько-
Дніпровський";"N 47°19'27""";"E 34°35'30"""
П-3347;Дуб черешчатий;Dub chereshchatyi;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;"Мелітопольська
міськрада";"N 46°52'38""";"E 35°23'40"""
П-3350;"Лісовий масив у верхів'ях
балки";Lisovyi masyv u verkhiviakh balky;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Гуляйпільський;"N 47°36'36""";"E 36°6'16"""
П-3374;"Дубовий гай. Старі дуби (136
штук)";"Dubovyi hai. Stari duby (136
shtuk)";ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;Запорізька міськрада;"N 47°48'30""";"E 35°10'23"""
П-3383;Урочище Білозірське;Urochyshche Bilozirske;заказник ландшафтний;загальнодержавного значення;Запорізька обл.;"р-н Кам'янсько-
Дніпровський";"N 47°21'10""";"E 34°28'3"""
П-3390;Герпетологічний заказник;Herpetolohichnyi zakaznyk;заказник загальнозоологічний;місцевого значення;Запорізька обл.;р-н Василівський;"N 47°24'37""";"E 35°32'10"""
П-3432;Терники;Ternyky;комплексна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Гуляйпільський;"N 47°47'43""";"E 36°20'34"""
П-3461;"Південний схил пойми
р.Молочна";"Pivdennyi skhyl poimy
r.molochna";комплексна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Токмацький;"N 47°9'35""";"E 35°30'56"""
П-347;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Василівський;"N 47°23'59""";"E 35°0'17"""
П-352;"Водосховище з
лісонасадженнями навколо";"Vodoskhovyshche z
lisonasadzhenniamy navkolo";заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Приморський;"N 46°54'46""";"E 36°16'19"""
П-3520;Балка Найвер;Balka Naiver;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Токмацький;"N 47°16'42""";"E 35°35'4"""
