Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-45648;Шутенька;Shutenka;річка;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 12’ 26""";"E 31° 51’ 25"""
Ф-45649;Келепівська;Kelepivska;річка, що пересихає;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 12’ 4""";"E 31° 53’ 26"""
Ф-45650;Тирлова Балка;Tyrlova Balka;річка, що пересихає;Кіровоградська обл.;р-н Компаніївський;"N 48° 11’ 17""";"E 32° 30’ 9"""
Ф-45651;Шатравина;Shatravyna;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 11’ 47""";"E 32° 28’ 32"""
Ф-45652;Вовча;Vovcha;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 10’ 27""";"E 32° 25’ 55"""
Ф-45653;Недайвода;Nedaivoda;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 10’ 30""";"E 32° 23’ 44"""
Ф-45654;Терноватка;Ternovatka;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 10’ 1""";"E 32° 23’ 47"""
Ф-45655;Родники;Rodnyky;джерело;Кіровоградська обл.;р-н Компаніївський;"N 48° 14’ 8""";"E 32° 20’ 1"""
Ф-45656;Панське;Panske;джерело;Кіровоградська обл.;р-н Компаніївський;"N 48° 12’ 37""";"E 32° 20’ 58"""
Ф-45657;Ключівське;Kliuchivske;джерело;Кіровоградська обл.;р-н Компаніївський;"N 48° 12’ 49""";"E 32° 21’ 13"""
Ф-45658;Лозуватка;Lozuvatka;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 9’ 50""";"E 32° 22’ 33"""
Ф-45659;Полігонська;Polihonska;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 10’ 48""";"E 32° 21’ 28"""
Ф-45660;Жеванова;Zhevanova;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 12’ 1""";"E 32° 18’ 0"""
Ф-45661;Лобачівка;Lobachivka;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 11’ 34""";"E 32° 18’ 36"""
Ф-45662;Очеретна;Ocheretna;річка;Кіровоградська обл.;р-н Долинський;"N 48° 3’ 28""";"E 32° 56’ 18"""
Ф-45663;Очеретяна;Ocheretiana;річка;Кіровоградська обл.;р-н Долинський;"N 48° 4’ 2""";"E 32° 52’ 43"""
Ф-45664;Цапківське;Tsapkivske;джерело;Кіровоградська обл.;р-н Долинський;"N 48° 4’ 2""";"E 32° 46’ 34"""
Ф-45667;Гординівка;Hordynivka;річка;Кіровоградська обл.;р-н Долинський;"N 48° 0’ 11""";"E 32° 48’ 2"""
Ф-45668;Данилівка;Danylivka;річка, що пересихає;Кіровоградська обл.;р-н Долинський;"N 47° 59’ 35""";"E 32° 47’ 19"""
