Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-4291;Унгаряска;Unhariaska;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 1""";"E 24° 7’ 8"""
Ф-7889;Іванів Звор;Ivaniv Zvor;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 10""";"E 23° 45’ 40"""
Ф-20090;Діл;Dil;урочище;Закарпатська обл.;р-н Хустський;"N 48° 17’ 11""";"E 23° 30’ 15"""
Ф-7598;Куза;Kuza;гора;Закарпатська обл.;р-н Хустський;"N 48° 17’ 16""";"E 23° 32’ 20"""
Ф-4295;Мунчел;Munchel;полонина;Закарпатська обл.;р-н Рахівський;"N 48° 17’ 2""";"E 24° 14’ 16"""
Ф-4290;Мала Куртяска;Mala Kurtiaska;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 2""";"E 24° 5’ 24"""
Ф-4292;Трояска;Troiaska;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 2""";"E 24° 8’ 52"""
Ф-39468;Нодь-Ердий;Nod-Erdyi;ліс;Закарпатська обл.;р-н Берегівський;"N 48° 17’ 22""";"E 22° 35’ 27"""
Ф-23907;Кобильне;Kobylne;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 22""";"E 23° 50’ 5"""
Ф-15177;Кобильне;Kobylne;гора;Закарпатська обл.;Тячівський р-н;"N 48° 17’ 22""";"E 23° 50’ 5"""
Ф-37447;Татульський Менчул;Tatulskyi Menchul;гора;Закарпатська обл.;р-н Рахівський;"N 48° 17’ 24""";"E 24° 14’ 2"""
Ф-7874;Вулшан;Vulshan;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 24""";"E 23° 59’ 4"""
Ф-33831;Файдас;Faidas;урочище;Закарпатська обл.;р-н Берегівський;"N 48° 17’ 26""";"E 22° 32’ 27"""
Ф-22748;Копоня;Koponia;урочище;Закарпатська обл.;р-н Берегівський;"N 48° 17’ 28""";"E 22° 30’ 57"""
Ф-4245;Осава;Osava;гора;Закарпатська обл.;р-н Хустський;"N 48° 17’ 29""";"E 23° 20’ 41"""
Ф-4246;Діл;Dil;гора;Закарпатська обл.;р-н Хустський;"N 48° 17’ 3""";"E 23° 29’ 50"""
Ф-4294;Татул;Tatul;полонина;Закарпатська обл.;р-н Рахівський;"N 48° 17’ 30""";"E 24° 12’ 52"""
Ф-37454;Матияска;Matyiaska;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 30""";"E 24° 5’ 51"""
Ф-17905;Грунь;Hrun;гора;Закарпатська обл.;р-н Хустський;"N 48° 17’ 30""";"E 23° 35’ 31"""
Ф-15394;Грунь;Hrun;гора;Закарпатська обл.;Хустський р-н;"N 48° 17’ 30""";"E 23° 35’ 31"""
Ф-37064;Ґрунь Жигалівський;Grun Zhyhalivskyi;гора;Закарпатська обл.;р-н Рахівський;"N 48° 17’ 35""";"E 24° 16’ 37"""
Ф-21126;Заподрине;Zapodryne;гора;Закарпатська обл.;р-н Хустський;"N 48° 17’ 36""";"E 23° 30’ 34"""
Ф-15238;Заподрине;Zapodryne;гора;Закарпатська обл.;Хустський р-н;"N 48° 17’ 36""";"E 23° 30’ 34"""
Ф-34050;Липовецьке озеро;Lypovetske ozero;озеро;Закарпатська обл.;р-н Хустський;"N 48° 17’ 39""";"E 23° 17’ 21"""
Ф-25536;Мостище;Mostyshche;урочище;Закарпатська обл.;р-н Іршавський;"N 48° 17’ 4""";"E 23° 6’ 42"""
Ф-37357;Ворожеска;Vorozheska;полонина;Закарпатська обл.;р-н Рахівський;"N 48° 17’ 4""";"E 24° 11’ 28"""
Ф-4289;Шпанська;Shpanska;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 4""";"E 24° 1’ 52"""
Ф-8557;Лизана;Lyzana;горб;Закарпатська обл.;р-н Іршавський;"N 48° 17’ 40""";"E 22° 56’ 50"""
Ф-4288;Стоги;Stohy;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 40""";"E 24° 1’ 25"""
Ф-1575;Мала Осава;Mala Osava;потік;Закарпатська обл.;;"N 48° 17’ 40""";"E 23° 21’ 40"""
Ф-15239;Шалаш;Shalash;гора;Закарпатська обл.;Іршавський р-н;"N 48° 17’ 41""";"E 23° 2’ 27"""
Ф-32376;Шалаш;Shalash;гора;Закарпатська обл.;р-н Іршавський;"N 48° 17’ 41""";"E 23° 2’ 27"""
Ф-1257;Собатин;Sobatyn;потік;Закарпатська обл.;;"N 48° 17’ 45""";"E 23° 1’ 45"""
Ф-1389;Синявка;Syniavka;річка;Закарпатська обл.;;"N 48° 17’ 45""";"E 23° 1’ 45"""
Ф-38406;Чертеж;Chertezh;гора;Закарпатська обл.;р-н Хустський;"N 48° 17’ 47""";"E 23° 37’ 43"""
Ф-14488;Сидоренка;Sydorenka;потік;Закарпатська обл.;р-н Рахівський;"N 48° 17’ 48""";"E 24° 23’ 2"""
Ф-7901;Чертіж;Chertizh;гора;Закарпатська обл.;р-н Тячівський, р-н Хустський;"N 48° 17’ 48""";"E 23° 37’ 50"""
Ф-7592;Бледар;Bledar;гора;Закарпатська обл.;р-н Хустський;"N 48° 17’ 48""";"E 23° 33’ 25"""
Ф-37680;Малий Ігридь;Malyi Ihryd;ліс;Закарпатська обл.;р-н Берегівський;"N 48° 17’ 52""";"E 22° 49’ 26"""
Ф-7894;Заломиста;Zalomysta;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 55""";"E 23° 42’ 15"""
Ф-7877;Плаїк;Plaik;хребет;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 55""";"E 23° 52’ 23"""
Ф-14485;Багенський;Bahenskyi;потік;Закарпатська обл.;р-н Рахівський;"N 48° 17’ 56""";"E 24° 21’ 24"""
Ф-7883;Відножанська Кичера;Vidnozhanska Kychera;гора;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 56""";"E 23° 46’ 25"""
Ф-30414;Турбатська Полонина;Turbatska Polonyna;урочище;Закарпатська обл.;р-н Тячівський;"N 48° 17’ 7""";"E 24° 8’ 20"""
Ф-4242;Юриця;Yurytsia;гора;Закарпатська обл.;р-н Іршавський;"N 48° 18’ 0""";"E 23° 14’ 33"""
Ф-1252;Солотвина;Solotvyna;потік;Закарпатська обл.;;"N 48° 18’ 10""";"E 22° 51’ 30"""
Ф-39466;Великий Ігридь;Velykyi Ihryd;ліс;Закарпатська обл.;р-н Берегівський;"N 48° 18’ 12""";"E 22° 47’ 51"""
Ф-4240;Облаз;Oblaz;гора;Закарпатська обл.;р-н Хустський;"N 48° 18’ 12""";"E 23° 27’ 35"""
Ф-1559;Вирка;Vyrka;річка;Закарпатська обл.;;"N 48° 18’ 15""";"E 22° 33’ 30"""
Ф-1634;Мацолин;Matsolyn;потік;Закарпатська обл.;;"N 48° 18’ 15""";"E 23° 47’ 40"""
Ф-4287;Підпула;Pidpula;гора;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 19""";"E 24° 5’ 30"""
Ф-37972;Яблунець;Yablunets;ліс;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 21""";"E 24° 1’ 15"""
Ф-1495;Марковець;Markovets;потік;Закарпатська обл.;;"N 48° 18’ 23""";"E 24° 20’ 35"""
Ф-14483;Довжина;Dovzhyna;річка;Закарпатська обл.;р-н Рахівський;"N 48° 18’ 24""";"E 24° 19’ 47"""
Ф-14487;Великий Багенський;Velykyi Bahenskyi;потік;Закарпатська обл.;р-н Рахівський;"N 48° 18’ 24""";"E 24° 19’ 47"""
Ф-14484;Плецький;Pletskyi;потік;Закарпатська обл.;р-н Рахівський;"N 48° 18’ 27""";"E 24° 17’ 0"""
Ф-38336;Гавайсгавор;Havaishavor;гора;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 3""";"E 23° 55’ 0"""
Ф-2830;Бродівський;Brodivskyi;потік;Закарпатська обл.;;"N 48° 18’ 3""";"E 23° 34’ 50"""
Ф-1492;Довжана;Dovzhana;річка;Закарпатська обл.;;"N 48° 18’ 30""";"E 24° 19’ 50"""
Ф-26222;Ліскова;Liskova;гора;Закарпатська обл.;р-н Хустський;"N 48° 18’ 31""";"E 23° 20’ 14"""
Ф-15167;Ліскова;Liskova;гора;Закарпатська обл.;Хустський р-н;"N 48° 18’ 31""";"E 23° 20’ 14"""
Ф-32743;Тонарія;Tonariia;гора;Закарпатська обл.;р-н Хустський;"N 48° 18’ 32""";"E 23° 23’ 29"""
Ф-7857;Менчеліна;Menchelina;гора;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 33""";"E 23° 50’ 28"""
Ф-11804;Чонкаш;Chonkash;урочище;Закарпатська обл.;р-н Іршавський;"N 48° 18’ 35""";"E 22° 54’ 20"""
Ф-2792;Середній;Serednii;потік;Закарпатська обл.;;"N 48° 18’ 35""";"E 24° 15’ 40"""
Ф-37374;Ружа;Ruzha;гора;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 38""";"E 23° 52’ 43"""
Ф-35122;Ріпта-Апшинецька;Ripta-Apshynetska;полонина;Закарпатська обл.;р-н Рахівський;"N 48° 18’ 39""";"E 24° 9’ 53"""
Ф-37732;Романівець;Romanivets;ліс;Закарпатська обл.;р-н Берегівський;"N 48° 18’ 40""";"E 22° 50’ 19"""
Ф-11843;Хутор-Чаника;Khutor-Chanyka;урочище;Закарпатська обл.;р-н Мукачівський;"N 48° 18’ 40""";"E 22° 45’ 5"""
Ф-1506;Станіслав;Stanislav;потік;Закарпатська обл.;;"N 48° 18’ 40""";"E 24° 18’ 40"""
Ф-4241;Грабова;Hrabova;гора;Закарпатська обл.;р-н Іршавський, р-н Хустський;"N 48° 18’ 41""";"E 23° 17’ 25"""
Ф-4285;Велика Кичера;Velyka Kychera;гора;Закарпатська обл.;р-н Рахівський;"N 48° 18’ 44""";"E 24° 11’ 20"""
Ф-7588;Скундул;Skundul;гора;Закарпатська обл.;р-н Хустський;"N 48° 18’ 44""";"E 23° 32’ 36"""
Ф-27030;Присіан;Prysian;гора;Закарпатська обл.;р-н Хустський;"N 48° 18’ 46""";"E 23° 34’ 17"""
Ф-15237;Присіан;Prysian;гора;Закарпатська обл.;Хустський р-н;"N 48° 18’ 46""";"E 23° 34’ 17"""
Ф-38407;Менчул;Menchul;гора;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 48""";"E 23° 40’ 47"""
Ф-7600;Манчул;Manchul;гора;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 48""";"E 23° 40’ 55"""
Ф-37370;Мала Климова;Mala Klymova;гора;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 5""";"E 23° 54’ 3"""
Ф-11915;Шаса;Shasa;урочище;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 50""";"E 24° 5’ 20"""
Ф-1491;Шасин;Shasyn;потік;Закарпатська обл.;;"N 48° 18’ 50""";"E 24° 2’ 5"""
Ф-37962;Рафайла;Rafaila;ліс;Закарпатська обл.;р-н Мукачівський;"N 48° 18’ 54""";"E 22° 31’ 52"""
Ф-4286;Татарука;Tataruka;гора;Закарпатська обл.;р-н Тячівський;"N 48° 18’ 7""";"E 24° 8’ 45"""
Ф-20481;Клобук;Klobuk;гора;Закарпатська обл.;р-н Хустський;"N 48° 19’ 0""";"E 23° 18’ 8"""
Ф-15162;Клобук;Klobuk;гора;Закарпатська обл.;Хустський р-н;"N 48° 19’ 0""";"E 23° 18’ 8"""
Ф-37371;Менчул;Menchul;гора;Закарпатська обл.;р-н Тячівський;"N 48° 19’ 1""";"E 23° 59’ 57"""
Ф-26031;Лиска;Lyska;урочище;Закарпатська обл.;р-н Іршавський;"N 48° 19’ 11""";"E 22° 51’ 50"""
Ф-38333;Чорна Тиса;Chorna Tysa;гора;Закарпатська обл.;р-н Рахівський;"N 48° 19’ 11""";"E 24° 13’ 55"""
Ф-7848;Поганська Кичера;Pohanska Kuchera;гора;Закарпатська обл.;р-н Тячівський;"N 48° 19’ 11""";"E 23° 46’ 32"""
Ф-38335;Поланська Кичера;Polanska Kychera;гора;Закарпатська обл.;р-н Тячівський;"N 48° 19’ 15""";"E 23° 46’ 28"""
Ф-29863;Хат;Khat;хребет;Закарпатська обл.;р-н Іршавський;"N 48° 19’ 17""";"E 22° 58’ 34"""
Ф-1497;Апшинець;Apshynets;потічок;Закарпатська обл.;;"N 48° 19’ 20""";"E 24° 13’ 15"""
