Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-20338;Качанове;Kachanove;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 16’ 8""";"E 26° 22’ 6"""
Ф-21037;Голубєв;Holubiev;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 29’ 24""";"E 27° 45’ 47"""
Ф-21187;Жеребині Лози;Zherebyni Lozy;урочище;Хмельницька обл.;р-н Полонський;"N 50° 0’ 41""";"E 27° 26’ 16"""
Ф-21188;Жеребки;Zherebky;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 38’ 35""";"E 27° 16’ 10"""
Ф-21254;Говорський Ліс;Hovorskyi Lis;урочище;Хмельницька обл.;р-н Віньковецький;"N 48° 57’ 11""";"E 27° 24’ 2"""
Ф-21335;Грабник;Hrabnyk;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 18’ 26""";"E 26° 19’ 58"""
Ф-21397;Грабове;Hrabove;урочище;Хмельницька обл.;р-н Полонський;"N 50° 13’ 6""";"E 27° 27’ 16"""
Ф-21472;Гнатківський Ліс;Hnatkivskyi Lis;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 39’ 42""";"E 27° 21’ 58"""
Ф-21699;Гуманне;Humanne;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 48’ 30""";"E 27° 20’ 44"""
Ф-22082;Майдан;Maidan;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 16’ 41""";"E 27° 11’ 2"""
Ф-22464;Лаборівка;Laborivka;балка;Хмельницька обл.;р-н Деражнянський;"N 49° 14’ 18""";"E 27° 32’ 34"""
Ф-22669;Копаньки;Kopanky;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 45’ 46""";"E 27° 33’ 23"""
Ф-23115;Кураж;Kurazh;урочище;Хмельницька обл.;р-н Славутський;"N 50° 28’ 24""";"E 26° 45’ 56"""
Ф-23116;Курачин;Kurachyn;урочище;Хмельницька обл.;р-н Ярмолинецький;"N 49° 11’ 30""";"E 27° 7’ 46"""
Ф-23167;Ізабелине;Izabelyne;урочище;Хмельницька обл.;р-н Полонський;"N 50° 8’ 0""";"E 27° 37’ 15"""
Ф-23335;Казенна Дача;Kazenna Dacha;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 15’ 16""";"E 27° 44’ 11"""
Ф-23506;Крижова Буда;Kryzhova Buda;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 16’ 12""";"E 27° 8’ 17"""
Ф-23802;Корчівка;Korchivka;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 48’ 4""";"E 27° 16’ 4"""
Ф-24072;Заруб;Zarub;урочище;Хмельницька обл.;р-н Полонський;"N 50° 1’ 24""";"E 27° 24’ 36"""
Ф-24117;Косинщина;Kosynshchyna;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 15’ 14""";"E 27° 22’ 7"""
Ф-24271;Ковтун;Kovtun;урочище;Хмельницька обл.;р-н Дунаєвецький;"N 48° 52’ 30""";"E 27° 3’ 47"""
Ф-24421;Маневе;Maneve;урочище;Хмельницька обл.;р-н Деражнянський;"N 49° 11’ 59""";"E 27° 32’ 19"""
Ф-24636;Малинове Господарство;Malynove Hospodarstvo;урочище;Хмельницька обл.;р-н Славутський;"N 50° 27’ 0""";"E 27° 15’ 47"""
Ф-24650;Мизорія;Myzoriia;урочище;Хмельницька обл.;Нетішинська міськрада;"N 50° 16’ 28""";"E 26° 37’ 13"""
Ф-24819;Михайлюкове;Mykhailiukove;урочище;Хмельницька обл.;р-н Деражнянський;"N 49° 13’ 1""";"E 27° 44’ 2"""
Ф-24820;Михайлючка;Mykhailiuchka;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 14’ 35""";"E 27° 17’ 5"""
Ф-24998;Нижня Грота;Nyzhnia Hrota;печера;Хмельницька обл.;р-н Новоушицький;"N 48° 41’ 53""";"E 27° 5’ 3"""
Ф-25105;Новаки;Novaky;урочище;Хмельницька обл.;р-н Полонський;"N 50° 16’ 31""";"E 27° 24’ 4"""
Ф-25127;Неруж;Neruzh;урочище;Хмельницька обл.;р-н Красилівський;"N 49° 33’ 40""";"E 27° 7’ 44"""
Ф-25277;Мальованська Дача;Malovanska Dacha;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 9’ 34""";"E 27° 19’ 46"""
Ф-25610;Ліс Морозівський;Lis Morozivskyi;урочище;Хмельницька обл.;р-н Дунаєвецький;"N 48° 58’ 2""";"E 27° 2’ 43"""
Ф-25611;Ліс Морозівський;Lis Morozivskyi;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 36’ 33""";"E 27° 17’ 55"""
Ф-25616;Ліс Самчинецький;Lis Samchynetskyi;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 34’ 35""";"E 27° 20’ 28"""
Ф-25640;Липники;Lypnyky;урочище;Хмельницька обл.;р-н Полонський;"N 50° 1’ 13""";"E 27° 27’ 51"""
Ф-26018;Маркова Гребля;Markova Hreblia;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 11’ 40""";"E 27° 0’ 22"""
Ф-26091;Місюрівський Лісок;Misiurivskyi Lisok;урочище;Хмельницька обл.;р-н Старосинявський;"N 49° 37’ 27""";"E 27° 35’ 30"""
Ф-26178;Максимець;Maksymets;урочище;Хмельницька обл.;р-н Ярмолинецький;"N 49° 13’ 33""";"E 27° 0’ 59"""
Ф-2623;Південний Буг;Pivdennyi Buh;річка;"Хмельницька обл., Вінницька обл.,
Кіровоградська обл., Одеська обл.,
Миколаївська обл.";;"N 46° 55’ 30""";"E 32° 0’ 40"""
Ф-26404;Лопатине;Lopatyne;урочище;Хмельницька обл.;р-н Віньковецький;"N 49° 0’ 31""";"E 27° 19’ 52"""
Ф-26580;Ліснівщина;Lisnivshchyna;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 15’ 58""";"E 27° 20’ 57"""
Ф-26591;Лісок;Lisok;урочище;Хмельницька обл.;р-н Полонський;"N 50° 5’ 48""";"E 27° 17’ 53"""
Ф-26651;Лісок;Lisok;урочище;Хмельницька обл.;р-н Полонський;"N 50° 2’ 59""";"E 27° 27’ 7"""
