Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-6990;Черемхів Яр;Cheremkhiv Yar;балка;Луганська обл.;р-н Марківський;"N 49° 26’ 31""";"E 39° 45’ 36"""
Ф-23933;Киселева;Kyseleva;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 54’ 55""";"E 39° 45’ 41"""
Ф-7127;Карбутів Яр;Karbutiv Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 12’ 40""";"E 39° 45’ 42"""
Ф-20538;Карначений Яр;Karnachenyi Yar;балка;Луганська обл.;р-н Марківський;"N 49° 30’ 49""";"E 39° 45’ 45"""
Ф-17388;Горіле;Horile;урочище;Луганська обл.;р-н Марківський;"N 49° 34’ 13""";"E 39° 45’ 47"""
Ф-42917;Кисельова балка;Kyselova balka;джерело;Луганська обл.;р-н Станично-Луганський;"N 48° 56’ 42""";"E 39° 45’ 50"""
Ф-16622;Білий Камінь;Bilyi Kamin;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 48’ 16""";"E 39° 45’ 56"""
Ф-18111;Голубівська;Holubivska;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 49’ 49""";"E 39° 45’ 56"""
Ф-21644;Голенька;Holenka;балка;Луганська обл.;р-н Сорокинський;"N 48° 24’ 11""";"E 39° 45’ 6"""
Ф-7001;Суків Яр;Sukiv Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 21’ 20""";"E 39° 46’ 1"""
Ф-7076;Вовчий Яр;Vovchyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 19’ 1""";"E 39° 46’ 17"""
Ф-8411;Добриднева;Dobrydneva;балка;Луганська обл.;р-н Свердловський;"N 47° 53’ 47""";"E 39° 46’ 20"""
Ф-21673;Добриднів;Dobrydniv;балка;Луганська обл.;р-н Довжанський;"N 47° 53’ 7""";"E 39° 46’ 23"""
Ф-26249;Максюкин Яр;Maksiukyn Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 13’ 36""";"E 39° 46’ 27"""
Ф-30874;Старчикова;Starchykova;балка;Луганська обл.;р-н Біловодський;"N 49° 16’ 33""";"E 39° 46’ 29"""
Ф-25600;Макітри;Makitry;балка;Луганська обл.;р-н Марківський;"N 49° 27’ 5""";"E 39° 46’ 29"""
Ф-7789;Довжик;Dovzhyk;балка;Луганська обл.;р-н Краснодонський;"N 48° 26’ 5""";"E 39° 46’ 32"""
Ф-18601;Бургуста;Burhusta;балка;Луганська обл.;р-н Довжанський;"N 48° 1’ 49""";"E 39° 46’ 39"""
Ф-31127;Сороча Стінка;Sorocha Stinka;урочище;Луганська обл.;р-н Марківський;"N 49° 32’ 8""";"E 39° 46’ 4"""
Ф-30748;Селезневе;Selezneve;урочище;Луганська обл.;р-н Станично-Луганський;"N 48° 50’ 18""";"E 39° 46’ 43"""
Ф-40917;Підйомний;Pidiomnyi;ліс;Луганська обл.;р-н Міловський;"N 49° 23’ 18""";"E 39° 46’ 43"""
Ф-32929;Голубівка;Holubivka;урочище;Луганська обл.;р-н Станично-Луганський;"N 48° 49’ 16""";"E 39° 46’ 47"""
Ф-27687;Рогозянка;Rohozianka;балка;Луганська обл.;р-н Довжанський;"N 47° 57’ 4""";"E 39° 46’ 54"""
Ф-9525;Свине;Svyne;урочище;Луганська обл.;р-н Станично-Луганський;"N 48° 51’ 20""";"E 39° 47’ 0"""
Ф-28682;Петькове;Petkove;урочище;Луганська обл.;р-н Марківський;"N 49° 32’ 35""";"E 39° 47’ 0"""
Ф-8410;Криничанська;Krynychanska;балка;Луганська обл.;р-н Свердловський;"N 47° 55’ 40""";"E 39° 47’ 15"""
Ф-18379;Власенкова;Vlasenkova;балка;Луганська обл.;р-н Сорокинський;"N 48° 11’ 30""";"E 39° 47’ 17"""
Ф-6985;Скора;Skora;балка;Луганська обл.;р-н Марківський;"N 49° 27’ 48""";"E 39° 47’ 2"""
Ф-9549;Вільхове;Vilkhove;урочище;Луганська обл.;р-н Свердловський;"N 48° 10’ 39""";"E 39° 47’ 30"""
Ф-7072;Дубовець;Dubovets;балка;Луганська обл.;р-н Біловодський;"N 49° 17’ 53""";"E 39° 47’ 30"""
Ф-21466;Глухове;Hlukhove;урочище;Луганська обл.;р-н Марківський;"N 49° 32’ 54""";"E 39° 47’ 31"""
Ф-7126;Саранячий Яр;Saraniachyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 14’ 45""";"E 39° 47’ 33"""
Ф-33359;Шевирьова;Shevyrova;балка;Луганська обл.;р-н Сорокинський;"N 48° 13’ 30""";"E 39° 47’ 38"""
Ф-22305;Крута;Kruta;балка;Луганська обл.;р-н Сорокинський;"N 48° 28’ 45""";"E 39° 47’ 43"""
Ф-7788;Козина;Kozyna;балка;Луганська обл.;р-н Краснодонський;"N 48° 27’ 15""";"E 39° 47’ 45"""
Ф-32825;Федорова;Fedorova;балка;Луганська обл.;р-н Сорокинський;"N 48° 14’ 31""";"E 39° 47’ 51"""
Ф-16498;Бересток;Berestok;урочище;Луганська обл.;р-н Біловодський;"N 49° 5’ 51""";"E 39° 47’ 8"""
Ф-30425;Скиртачова Стінка;Skyrtachova Stinka;урочище;Луганська обл.;р-н Марківський;"N 49° 32’ 10""";"E 39° 48’ 10"""
Ф-31784;Розсохуватий Яр;Rozsokhuvatyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 7’ 42""";"E 39° 48’ 12"""
Ф-22895;Кружилка;Kruzhylka;балка;Луганська обл.;р-н Сорокинський;"N 48° 34’ 18""";"E 39° 48’ 16"""
Ф-40632;Високий;Vysokyi;ліс;Луганська обл.;р-н Марківський;"N 49° 30’ 47""";"E 39° 48’ 17"""
Ф-40476;Борсуков;Borsukov;ліс;Луганська обл.;р-н Марківський;"N 49° 31’ 22""";"E 39° 48’ 2"""
Ф-651;Деревечка;Derevechka;річка;Луганська обл.;;"N 48° 16’ 41""";"E 39° 48’ 20"""
Ф-9164;Петькове;Petkove;урочище;Луганська обл.;р-н Марківський;"N 49° 33’ 45""";"E 39° 48’ 20"""
Ф-22998;Куций Яр;Kutsyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 8’ 32""";"E 39° 48’ 23"""
Ф-31788;Шлепкин;Shlepkyn;яр;Луганська обл.;р-н Біловодський;"N 49° 5’ 45""";"E 39° 48’ 25"""
Ф-7175;Липовий Яр;Lypovyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 9’ 14""";"E 39° 48’ 30"""
Ф-21142;Довга;Dovha;балка;Луганська обл.;р-н Сорокинський;"N 48° 31’ 19""";"E 39° 48’ 35"""
Ф-24922;Москалів Яр;Moskaliv Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 4’ 43""";"E 39° 48’ 40"""
Ф-16824;Біла Гора;Bila Hora;урочище;Луганська обл.;р-н Біловодський;"N 49° 5’ 13""";"E 39° 48’ 40"""
Ф-7715;Суходіл;Sukhodil;балка;Луганська обл.;р-н Краснодонський;"N 48° 23’ 0""";"E 39° 48’ 5"""
Ф-16444;Березова;Berezova;балка;Луганська обл.;р-н Сорокинський;"N 48° 23’ 0""";"E 39° 48’ 54"""
Ф-20899;Довга;Dovha;балка;Луганська обл.;р-н Довжанський;"N 47° 58’ 20""";"E 39° 48’ 6"""
Ф-26901;Плоский Ліс;Ploskyi Lis;урочище;Луганська обл.;р-н Міловський;"N 49° 24’ 44""";"E 39° 48’ 6"""
Ф-40778;Ясенів;Yaseniv;ліс;Луганська обл.;р-н Міловський;"N 49° 21’ 44""";"E 39° 48’ 7"""
Ф-40562;Комишова Стінка;Komyshova Stinka;ліс;Луганська обл.;р-н Марківський;"N 49° 28’ 21""";"E 39° 48’ 7"""
Ф-7713;Розсош;Rozsosh;балка;Луганська обл.;р-н Краснодонський;"N 48° 24’ 45""";"E 39° 49’ 13"""
Ф-31206;Стрелецька;Streletska;балка;Луганська обл.;р-н Міловський;"N 49° 19’ 42""";"E 39° 49’ 18"""
Ф-9166;Стінка;Stinka;урочище;Луганська обл.;р-н Марківський , р-н Міловський;"N 49° 29’ 0""";"E 39° 49’ 20"""
Ф-20870;Гарнажина;Harnazhyna;балка;Луганська обл.;р-н Марківський;"N 49° 31’ 59""";"E 39° 49’ 23"""
Ф-15208;Могила-Водяна;Mohyla-Vodiana;курган;Луганська обл.;Міловський р-н;"N 49° 14’ 30""";"E 39° 49’ 30"""
Ф-24942;Могила-Водяна;Mohyla-Vodiana;курган;Луганська обл.;р-н Міловський;"N 49° 14’ 30""";"E 39° 49’ 30"""
Ф-16442;Березова;Berezova;балка;Луганська обл.;р-н Сорокинський;"N 48° 19’ 49""";"E 39° 49’ 37"""
Ф-31191;Розорений;Rozorenyi;урочище;Луганська обл.;р-н Довжанський;"N 48° 6’ 47""";"E 39° 49’ 38"""
Ф-652;Дуванна;Duvanna;балка;Луганська обл.;;"N 48° 16’ 41""";"E 39° 49’ 45"""
Ф-9250;Дубейків;Dubeikiv;урочище;Луганська обл.;р-н Старобільський;"N 49° 18’ 30""";"E 39° 5’ 0"""
Ф-9248;Голубівка;Holubivka;урочище;Луганська обл.;р-н Старобільський;"N 49° 19’ 40""";"E 39° 5’ 0"""
Ф-20499;Довжик;Dovzhyk;урочище;Луганська обл.;р-н Новопсковський;"N 49° 43’ 38""";"E 39° 5’ 12"""
Ф-6933;Шляховий Яр;Shliakhovyi Yar;балка;Луганська обл.;р-н Новопсковський;"N 49° 24’ 40""";"E 39° 5’ 18"""
Ф-564;Кам`янка;Kamianka;річка;Луганська обл.;;"N 49° 33’ 5""";"E 39° 5’ 20"""
Ф-27735;Рубіжний Яр;Rubizhnyi Yar;балка;Луганська обл.;р-н Новоайдарський;"N 48° 51’ 5""";"E 39° 5’ 21"""
