Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-14928	Пасічки	Pasichky	гора	Львівська обл.	Турківський р-н	"N 48° 59’ 13"""	"E 22° 59’ 12"""
Ф-28194	Пасічки	Pasichky	гора	Львівська обл.	р-н Турківський	"N 48° 59’ 13"""	"E 22° 59’ 12"""
Ф-14028	Розлуч	Rozluch	гора	Львівська обл.	р-н Турківський	"N 49° 12’ 22"""	"E 22° 59’ 16"""
Ф-19756	Долина	Dolyna	урочище	Львівська обл.	р-н Турківський	"N 48° 50’ 56"""	"E 22° 59’ 17"""
Ф-14256	Бзане	Bzane	гора	Львівська обл.	р-н Старосамбірський	"N 49° 28’ 20"""	"E 22° 59’ 18"""
Ф-1880	Лінинка	Linynka	річка	Львівська обл.		"N 49° 4’ 51"""	"E 22° 59’ 20"""
Ф-18934	Вигадувка	Vyhaduvka	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 33’ 1"""	"E 22° 59’ 22"""
Ф-14930	Бухна	Bukhna	гора	Львівська обл.	Турківський р-н	"N 48° 58’ 2"""	"E 22° 59’ 29"""
Ф-19354	Бухна	Bukhna	гора	Львівська обл.	р-н Турківський	"N 48° 58’ 2"""	"E 22° 59’ 29"""
Ф-2308	Довгий	Dovhyi	потік	Львівська обл.		"N 48° 55’ 20"""	"E 22° 59’ 30"""
Ф-2138	Топільниця	Topilnytsia	річка	Львівська обл.		"N 49° 20’ 29"""	"E 22° 59’ 30"""
Ф-2981	Лінина	Linyna	річка	Львівська обл.		"N 49° 24’ 53"""	"E 22° 59’ 30"""
Ф-14047	Ясевець	Yasevets	гора	Львівська обл.	р-н Турківський	"N 49° 2’ 41"""	"E 22° 59’ 32"""
Ф-14725	Велька-Кичерка	Velka-Kycherka	гора	Львівська обл.	Турківський р-н	"N 49° 3’ 47"""	"E 22° 59’ 34"""
Ф-17936	Велька-Кичерка	Velka-Kycherka	гора	Львівська обл.	р-н Турківський	"N 49° 3’ 47"""	"E 22° 59’ 34"""
Ф-36701	Рог	Roh	гора	Львівська обл.	р-н Турківський	"N 48° 54’ 18"""	"E 22° 59’ 35"""
Ф-14927	Кичерка	Kycherka	гора	Львівська обл.	Турківський р-н	"N 48° 59’ 52"""	"E 22° 59’ 37"""
Ф-23397	Кичерка	Kycherka	гора	Львівська обл.	р-н Турківський	"N 48° 59’ 52"""	"E 22° 59’ 37"""
Ф-21168	Гуснянський Менчіл	Husnianskyi Menchil	урочище	Львівська обл.	р-н Турківський	"N 48° 52’ 53"""	"E 22° 59’ 4"""
Ф-14722	Венець	Venets	гора	Львівська обл.	Турківський р-н	"N 49° 12’ 3"""	"E 22° 59’ 47"""
Ф-17942	Венець	Venets	гора	Львівська обл.	р-н Турківський	"N 49° 12’ 3"""	"E 22° 59’ 47"""
Ф-2137	Волосянка	Volosianka	річка	Львівська обл.		"N 49° 15’ 27"""	"E 22° 59’ 5"""
Ф-14916	Головня	Holovnia	гора	Львівська обл.	Старосамбірський р-н	"N 49° 21’ 18"""	"E 22° 59’ 57"""
Ф-20967	Головня	Holovnia	гора	Львівська обл.	р-н Старосамбірський	"N 49° 21’ 18"""	"E 22° 59’ 57"""
Ф-14662	Звір	Zvir	потік	Львівська обл.	р-н Турківський	"N 48° 55’ 16"""	"E 22° 59’ 8"""
Ф-37067	Широкий	Shyrokyi	гора	Львівська обл.	р-н Турківський	"N 48° 50’ 49"""	"E 23° 0’ 0"""
Ф-2150	Яворівка	Yavorivka	річка	Львівська обл.		"N 49° 1’ 12"""	"E 23° 0’ 0"""
Ф-14728	Смеречинки	Smerechynky	гора	Львівська обл.	Старосамбірський р-н	"N 49° 16’ 31"""	"E 23° 0’ 11"""
Ф-30610	Смеречинки	Smerechynky	гора	Львівська обл.	р-н Старосамбірський	"N 49° 16’ 31"""	"E 23° 0’ 11"""
Ф-8624	Пікуй	Pikui	гора	Закарпатська обл., Львівська обл.		"N 48° 49’ 46"""	"E 23° 0’ 15"""
Ф-31985	Ясенця	Yasentsia	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 28’ 29"""	"E 23° 0’ 17"""
Ф-14661	Кругла	Kruhla	річка	Львівська обл.	р-н Турківський	"N 48° 55’ 50"""	"E 23° 0’ 26"""
Ф-13947	Шероке	Sheroke	гора	Львівська обл.	р-н Турківський	"N 49° 6’ 7"""	"E 23° 0’ 28"""
Ф-22023	Крокоша Верх	Krokosha Verkh	гора	Львівська обл.	р-н Турківський	"N 48° 59’ 36"""	"E 23° 0’ 39"""
Ф-13353	Жичка	Zhychka	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 17’ 50"""	"E 23° 0’ 45"""
Ф-13396	Ясовець	Yasovets	урочище	Львівська обл.	р-н Турківський	"N 49° 3’ 10"""	"E 23° 0’ 45"""
Ф-3006	Підбуж	Pidbuzh	потік	Львівська обл.		"N 49° 22’ 5"""	"E 23° 0’ 50"""
Ф-2208	Яблунька	Yablunka	річка	Львівська обл.		"N 49° 26’ 50"""	"E 23° 1’ 0"""
Ф-3007	Кільчин	Kilchyn	потік	Львівська обл.		"N 49° 21’ 20"""	"E 23° 1’ 10"""
Ф-14659	Раківці	Rakivtsi	потік	Львівська обл.	р-н Турківський	"N 48° 52’ 20"""	"E 23° 1’ 18"""
Ф-19907	Заверхи	Zaverkhy	урочище	Львівська обл.	р-н Мостиський	"N 49° 50’ 34"""	"E 23° 1’ 18"""
Ф-2314	Онилова	Onylova	потік	Львівська обл.		"N 48° 52’ 28"""	"E 23° 1’ 19"""
