Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-19223	Вінцовський Сад	Vintsovskyi Sad	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 4’ 15"""	"E 35° 33’ 21"""
Ф-16480	Берестова	Berestova	балка	Запорізька обл.	р-н Новомиколаївський	"N 48° 4’ 23"""	"E 35° 54’ 56"""
Ф-24211	Капустяне	Kapustiane	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 5’ 10"""	"E 35° 13’ 17"""
Ф-22521	Корняківщина	Korniakivshchyna	урочище	Запорізька обл.	р-н Новомиколаївський	"N 48° 5’ 14"""	"E 35° 44’ 16"""
Ф-24212	Капустянка	Kapustianka	балка	Запорізька обл.	р-н Вільнянський	"N 48° 5’ 45"""	"E 35° 12’ 27"""
Ф-10616	Варварівська	Varvarivska	балка	Запорізька обл.	р-н Запорізький	"N 48° 5’ 56"""	"E 34° 54’ 7"""
Ф-10382	Широка	Shyroka	балка	Запорізька обл.	р-н Вільнянський	"N 48° 6’ 25"""	"E 35° 20’ 59"""
Ф-18235	Варварівка	Varvarivka	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 6’ 36"""	"E 35° 4’ 0"""
Ф-24965	Малодубове	Malodubove	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 6’ 45"""	"E 35° 14’ 0"""
Ф-21674	Дубова	Dubova	балка	Запорізька обл.	р-н Вільнянський	"N 48° 6’ 48"""	"E 35° 14’ 1"""
Ф-31459	Славутне	Slavutne	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 6’ 57"""	"E 35° 22’ 57"""
Ф-2637	Плоска Осокорівка	Ploska Osokorivka	річка	Запорізька обл., Дніпропетровська обл.		"N 48° 8’ 30"""	"E 35° 12’ 50"""
Ф-1740	Буркач	Burkach	потік	Запорізька обл.		"N 48° 11’ 23"""	"E 34° 32’ 38"""
