Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-3254	Чорне	Chorne	озеро	Рівненська обл.		"N 51° 44’ 56"""	"E 26° 5’ 52"""
Ф-32550	Шубер	Shuber	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 33’ 9"""	"E 26° 46’ 31"""
Ф-32555	Добринь	Dobryn	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 36’ 22"""	"E 26° 6’ 7"""
Ф-32556	Дубник	Dubnyk	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 42’ 33"""	"E 26° 45’ 59"""
Ф-3256	Цегельня	Tsehelnia	став	Рівненська обл.		"N 51° 41’ 8"""	"E 26° 6’ 5"""
Ф-32574	Колядки	Koliadky	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 32’ 27"""	"E 26° 0’ 18"""
Ф-32582	Хохлецька	Khokhletska	гора	Рівненська обл.	р-н Дубровицький	"N 51° 42’ 24"""	"E 26° 59’ 8"""
Ф-32585	Хочин	Khochyn	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 43’ 5"""	"E 26° 45’ 7"""
Ф-32636	Тимохів Ріг	Tymokhiv Rih	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 28’ 23"""	"E 27° 13’ 45"""
Ф-32641	Тинін	Tynin	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 44’ 34"""	"E 26° 52’ 13"""
Ф-32642	Тинниця	Tynnytsia	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 33’ 26"""	"E 26° 3’ 40"""
Ф-32656	Талежі	Talezhi	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 44’ 2"""	"E 26° 51’ 42"""
Ф-32672	Тараж	Tarazh	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 34’ 33"""	"E 25° 47’ 34"""
Ф-32682	Чернів Ріг	Cherniv Rih	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 31’ 47"""	"E 26° 42’ 25"""
Ф-3269	Пліщина	Plishchyna	озеро	Рівненська обл.		"N 51° 41’ 56"""	"E 26° 5’ 37"""
Ф-32707	Напівкошари	Napivkoshary	урочище	Рівненська обл.	р-н Сарненський	"N 51° 18’ 6"""	"E 26° 45’ 36"""
Ф-32711	Пиховище	Pykhovyshche	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 46’ 16"""	"E 26° 30’ 40"""
