Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-26595	Лозки	Lozky	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 25"""	"E 29° 1’ 19"""
Ф-28348	Оболонь	Obolon	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 26"""	"E 29° 16’ 59"""
Ф-27321	Рафалівка	Rafalivka	урочище	Житомирська обл.	р-н Коростенський	"N 50° 51’ 27"""	"E 28° 16’ 35"""
Ф-20776	Дубрава	Dubrava	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 3"""	"E 29° 5’ 41"""
Ф-4651	Білошичі	Biloshychi	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 51’ 30"""	"E 27° 33’ 10"""
Ф-28087	Пісковка	Piskovka	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 51’ 36"""	"E 27° 15’ 45"""
Ф-12734	Скеля	Skelia	гора	Житомирська обл.	р-н Коростенський	"N 50° 51’ 40"""	"E 28° 8’ 5"""
Ф-24175	Кадище	Kadyshche	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 51’ 47"""	"E 27° 52’ 51"""
Ф-29111	Переліски	Perelisky	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 5"""	"E 29° 26’ 5"""
Ф-4749	Карпиха	Karpykha	урочище	Житомирська обл.	р-н Коростенський	"N 50° 51’ 50"""	"E 28° 9’ 10"""
Ф-4755	Бір	Bir	урочище	Житомирська обл.	р-н Коростенський	"N 50° 51’ 58"""	"E 28° 14’ 10"""
Ф-17084	Болото Римариха	Boloto Rymarykha	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 59"""	"E 28° 55’ 22"""
Ф-6825	Журавель	Zhuravel	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 51’ 59"""	"E 27° 23’ 50"""
Ф-16720	Бовсухові	Bovsukhovi	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 6"""	"E 28° 56’ 5"""
Ф-18429	Великий Луг	Velykyi Luh	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 6"""	"E 29° 28’ 38"""
Ф-30476	Старий Тік	Staryi Tik	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 6"""	"E 29° 8’ 18"""
Ф-17651	Горбатюкова Гора	Horbatiukova Hora	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 52’ 0"""	"E 27° 44’ 16"""
Ф-26368	Лядо	Liado	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 52’ 18"""	"E 27° 54’ 56"""
Ф-39909	Тростяне	Trostiane	болото	Житомирська обл.	р-н Малинський	"N 50° 52’ 2"""	"E 29° 0’ 12"""
Ф-24667	Накуп'є	Nakupie	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 52’ 20"""	"E 27° 26’ 36"""
Ф-21368	Журавлик	Zhuravlyk	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 52’ 24"""	"E 27° 25’ 11"""
Ф-4740	Симаківська Дача	Symakivska Dacha	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 52’ 25"""	"E 28° 1’ 30"""
Ф-119	Бересток	Berestok	річка	Житомирська обл.		"N 50° 52’ 29"""	"E 27° 47’ 42"""
Ф-4851	Березова Лоза	Berezova Loza	урочище	Житомирська обл.	р-н Коростенський	"N 50° 52’ 30"""	"E 28° 51’ 10"""
Ф-22546	Лиса Гора	Lysa Hora	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 52’ 37"""	"E 27° 18’ 57"""
Ф-31232	Стависька	Stavyska	урочище	Житомирська обл.	р-н Малинський	"N 50° 52’ 37"""	"E 29° 22’ 53"""
Ф-32246	Чортів Ріг	Chortiv Rih	урочище	Житомирська обл.	р-н Малинський	"N 50° 52’ 4"""	"E 29° 29’ 23"""
Ф-18121	Дворище	Dvoryshche	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 52’ 40"""	"E 27° 22’ 35"""
Ф-4826	Котові Лози	Kotovi Lozy	урочище	Житомирська обл.	р-н Коростенський	"N 50° 52’ 43"""	"E 28° 38’ 20"""
Ф-31339	Попове	Popove	урочище	Житомирська обл.	р-н Малинський	"N 50° 52’ 44"""	"E 29° 29’ 19"""
Ф-31415	П'ятий Дуб	Piatyi Dub	урочище	Житомирська обл.	р-н Малинський	"N 50° 52’ 45"""	"E 28° 53’ 43"""
Ф-4648	Петрів Ставок	Petriv Stavok	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 52’ 45"""	"E 27° 55’ 50"""
Ф-4823	Домолоцька Дача	Domolotska Dacha	урочище	Житомирська обл.	р-н Коростенський	"N 50° 52’ 45"""	"E 28° 42’ 20"""
Ф-4855	Бір	Bir	урочище	Житомирська обл.	р-н Коростенський	"N 50° 52’ 45"""	"E 28° 32’ 0"""
