Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-28454	Піщаний Острів	Pishchanyi Ostriv	урочище	Полтавська обл.	р-н Чорнухинський	"N 50° 10’ 42"""	"E 32° 53’ 55"""
Ф-18496	Великий Поділ	Velykyi Podil	урочище	Полтавська обл.	р-н Лубенський	"N 49° 56’ 52"""	"E 32° 53’ 58"""
Ф-3651	Чиркове	Chyrkove	озеро	Полтавська обл.		"N 49° 45’ 56"""	"E 32° 53’ 59"""
Ф-25560	Мехедиха	Mekhedykha	балка	Полтавська обл.	р-н Лубенський	"N 49° 58’ 0"""	"E 32° 54’ 19"""
Ф-9472	Гракове	Hrakove	урочище	Полтавська обл.	р-н Семенівський	"N 49° 34’ 43"""	"E 32° 54’ 20"""
Ф-22792	Кринка	Krynka	курган	Полтавська обл.	р-н Глобинський	"N 49° 26’ 59"""	"E 32° 54’ 26"""
Ф-29969	Степанівка	Stepanivka	курган	Полтавська обл.	р-н Семенівський	"N 49° 30’ 52"""	"E 32° 54’ 30"""
Ф-9501	Лебедиха	Lebedykha	урочище	Полтавська обл.	р-н Семенівський	"N 49° 29’ 26"""	"E 32° 54’ 42"""
Ф-24683	Маслачка	Maslachka	курган	Полтавська обл.	р-н Семенівський	"N 49° 32’ 18"""	"E 32° 54’ 42"""
Ф-3668	Вільшанка	Vilshanka	річка, що пересихає	Полтавська обл.		"N 50° 9’ 2"""	"E 32° 54’ 42"""
Ф-3654	Колодна	Kolodna	річка	Полтавська обл.		"N 49° 49’ 10"""	"E 32° 54’ 49"""
Ф-25894	Лужки	Luzhky	урочище	Полтавська обл.	р-н Глобинський	"N 49° 23’ 30"""	"E 32° 54’ 50"""
Ф-17421	Василенкова	Vasylenkova	балка	Полтавська обл.	р-н Лубенський	"N 49° 59’ 38"""	"E 32° 54’ 53"""
Ф-18783	Галинине	Halynyne	урочище	Полтавська обл.	р-н Глобинський	"N 49° 27’ 47"""	"E 32° 54’ 55"""
Ф-24562	Малий Поділ	Malyi Podil	урочище	Полтавська обл.	р-н Лубенський	"N 49° 56’ 49"""	"E 32° 54’ 58"""
Ф-9444	Солонці	Solontsi	урочище	Полтавська обл.	р-н Семенівський	"N 49° 38’ 22"""	"E 32° 54’ 59"""
Ф-9486	Мерещине	Mereshchyne	урочище	Полтавська обл.	р-н Семенівський	"N 49° 43’ 41"""	"E 32° 5440’ 41"""
Ф-20767	Дубовий Острів	Dubovyi Ostriv	урочище	Полтавська обл.	р-н Лубенський	"N 50° 8’ 28"""	"E 32° 55’ 20"""
Ф-9057	Падненкова Левада	Padnenkova Levada	урочище	Полтавська обл.	р-н Чорнухинський	"N 50° 12’ 57"""	"E 32° 55’ 26"""
Ф-9262	Белач	Belach	урочище	Полтавська обл.	р-н Лубенський	"N 49° 52’ 35"""	"E 32° 55’ 28"""
Ф-33354	Товста	Tovsta	курган	Полтавська обл.	р-н Семенівський	"N 49° 39’ 5"""	"E 32° 55’ 34"""
Ф-24674	Манілове	Manilove	урочище	Полтавська обл.	р-н Оржицький	"N 49° 50’ 40"""	"E 32° 56’ 2"""
Ф-32595	Талановщина	Talanovshchyna	балка	Полтавська обл.	р-н Чорнухинський	"N 50° 22’ 37"""	"E 32° 56’ 27"""
Ф-23647	Крутькове	Krutkove	урочище	Полтавська обл.	р-н Хорольський	"N 49° 49’ 15"""	"E 32° 56’ 57"""
Ф-31408	Суків Яр	Sukiv Yar	балка	Полтавська обл.	р-н Чорнухинський	"N 50° 23’ 48"""	"E 32° 57’ 19"""
Ф-33373	Шевченко	Shevchenko	курган	Полтавська обл.	р-н Семенівський	"N 49° 38’ 12"""	"E 32° 57’ 31"""
Ф-29069	Пилипишине	Pylypyshyne	урочище	Полтавська обл.	р-н Лубенський	"N 49° 58’ 33"""	"E 32° 57’ 33"""
Ф-17890	Глибока	Hlyboka	балка	Полтавська обл.	р-н Лубенський	"N 49° 59’ 10"""	"E 32° 57’ 34"""
Ф-25149	Могила Йосипа	Mohyla Yosypa	курган	Полтавська обл.	р-н Глобинський	"N 49° 19’ 40"""	"E 32° 57’ 35"""
Ф-25666	Макортет	Makortet	урочище	Полтавська обл.	р-н Семенівський	"N 49° 39’ 47"""	"E 32° 57’ 36"""
Ф-21927	Гостра	Hostra	курган	Полтавська обл.	р-н Глобинський	"N 49° 26’ 58"""	"E 32° 57’ 41"""
Ф-3673	Ковбаня	Kovbania	річка	Полтавська обл.		"N 50° 18’ 46"""	"E 32° 58’ 24"""
Ф-3655	Крива	Kryva	річка	Полтавська обл.		"N 49° 50’ 43"""	"E 32° 58’ 26"""
Ф-9061	Лисицине	Lysytsyne	урочище	Полтавська обл.	р-н Оржицький	"N 50° 3’ 7"""	"E 32° 6’ 38"""
Ф-9060	Жолоб	Zholob	урочище	Полтавська обл.	р-н Лубенський	"N 50° 43’ 10"""	"E 32° 7’ 31"""
Ф-3643	Зубове	Zubove	болото	Полтавська обл.		"N 49° 53’ 27"""	"E 33° 0’ 11"""
Ф-21598	Довге	Dovhe	урочище	Полтавська обл.	р-н Хорольський	"N 49° 53’ 23"""	"E 33° 0’ 14"""
Ф-17316	Городище	Horodyshche	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 25’ 44"""	"E 33° 0’ 19"""
Ф-39090	Рогове	Rohove	болото	Полтавська обл.	р-н Хорольський	"N 49° 54’ 27"""	"E 33° 0’ 21"""
Ф-23284	Костиріна	Kostyrina	балка	Полтавська обл.	р-н Лохвицький	"N 50° 24’ 43"""	"E 33° 0’ 29"""
Ф-23612	Кириковщина	Kyrykovshchyna	балка	Полтавська обл.	р-н Чорнухинський	"N 50° 20’ 36"""	"E 33° 0’ 42"""
Ф-25530	Могила Хватурка	Mohyla Khvaturka	курган	Полтавська обл.	р-н Глобинський	"N 49° 18’ 58"""	"E 33° 1’ 28"""
Ф-32039	Шостакова	Shostakova	балка	Полтавська обл.	р-н Лохвицький	"N 50° 28’ 21"""	"E 33° 1’ 35"""
Ф-30886	Ракити	Rakyty	урочище	Полтавська обл.	р-н Чорнухинський	"N 50° 22’ 26"""	"E 33° 1’ 36"""
Ф-17220	Громове Озеро	Hromove Ozero	балка	Полтавська обл.	р-н Лохвицький	"N 50° 25’ 24"""	"E 33° 1’ 37"""
Ф-24770	Могила Баранкова	Mohyla Barankova	курган	Полтавська обл.	р-н Глобинський	"N 49° 19’ 50"""	"E 33° 1’ 54"""
Ф-35536	Хвильова	Khvylova	балка	Полтавська обл.	р-н Лохвицький, р-н Чорнухинський	"N 50° 22’ 41"""	"E 33° 1’ 56"""
Ф-22631	Кущиха	Kushchykha	балка	Полтавська обл.	р-н Лохвицький	"N 50° 29’ 48"""	"E 33° 1’ 57"""
Ф-26324	Лаптур	Laptur	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 29’ 11"""	"E 33° 10’ 19"""
Ф-24873	Муховачка	Mukhovachka	урочище	Полтавська обл.	р-н Лубенський	"N 50° 3’ 15"""	"E 33° 10’ 19"""
Ф-458	Сулиця	Sulytsia	річка	Полтавська обл.		"N 50° 5’ 0"""	"E 33° 10’ 30"""
Ф-25491	Могили Черепахині	Mohyly Cherepakhyni	курган	Полтавська обл.	р-н Глобинський	"N 49° 17’ 6"""	"E 33° 10’ 46"""
Ф-23285	Криничка	Krynychka	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 30’ 56"""	"E 33° 10’ 50"""
Ф-25164	Могила Олеська	Mohyla Oleska	курган	Полтавська обл.	р-н Глобинський	"N 49° 15’ 45"""	"E 33° 10’ 51"""
Ф-9670	Шамайкова	Shamaikova	урочище	Полтавська обл.	р-н Великобагачанський	"N 49° 34’ 15"""	"E 33° 11’ 14"""
Ф-25528	Могила Устимівська	Mohyla Ustymivska	курган	Полтавська обл.	р-н Глобинський	"N 49° 17’ 35"""	"E 33° 11’ 16"""
Ф-25455	Могила Поповська Руда	Mohyla Popovska Ruda	курган	Полтавська обл.	р-н Глобинський	"N 49° 19’ 16"""	"E 33° 11’ 20"""
Ф-16941	Боршаковщина	Borshakovshchyna	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 15’ 36"""	"E 33° 11’ 3"""
Ф-26886	Проруб	Prorub	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 27’ 54"""	"E 33° 11’ 48"""
Ф-28512	Павлів Яр	Pavliv Yar	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 26’ 19"""	"E 33° 12’ 11"""
Ф-9668	Шепелеве	Shepeleve	урочище	Полтавська обл.	р-н Великобагачанський	"N 49° 35’ 24"""	"E 33° 12’ 21"""
Ф-26766	Лубенський Ліс	Lubenskyi Lis	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 14’ 30"""	"E 33° 12’ 39"""
Ф-17982	Гринінкова Балка	Hryninkova Balka	урочище	Полтавська обл.	р-н Семенівський	"N 49° 38’ 39"""	"E 33° 12’ 4"""
Ф-30048	Сальна	Salna	балка	Полтавська обл.	р-н Хорольський	"N 49° 41’ 1"""	"E 33° 12’ 42"""
Ф-24768	Могила Арнацька	Mohyla Arnatska	курган	Полтавська обл.	р-н Глобинський	"N 49° 18’ 15"""	"E 33° 12’ 5"""
Ф-20423	Заора	Zaora	урочище	Полтавська обл.	р-н Лубенський	"N 49° 59’ 50"""	"E 33° 12’ 55"""
Ф-9755	Тупале	Tupale	урочище	Полтавська обл.	р-н Кременчуцький	"N 49° 12’ 42"""	"E 33° 13’ 11"""
Ф-35534	Гнибедіне	Hnybedine	урочище	Полтавська обл.	р-н Лохвицький, р-н Лубенський	"N 50° 13’ 38"""	"E 33° 13’ 11"""
Ф-26074	Кут	Kut	урочище	Полтавська обл.	р-н Лубенський	"N 50° 6’ 22"""	"E 33° 13’ 2"""
Ф-24552	Могила Шульського	Mohyla Shulskoho	курган	Полтавська обл.	р-н Глобинський	"N 49° 19’ 36"""	"E 33° 13’ 37"""
Ф-21504	Дубина	Dubyna	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 25’ 59"""	"E 33° 13’ 37"""
Ф-35535	Триказове	Trykazove	урочище	Полтавська обл.	р-н Лохвицький, р-н Лубенський	"N 50° 13’ 27"""	"E 33° 13’ 45"""
Ф-21976	Крупський Яр	Krupskyi Yar	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 26’ 41"""	"E 33° 14’ 26"""
Ф-515	Сухий Омельничок	Sukhyi Omelnychok	став	Полтавська обл.		"N 49° 24’ 0"""	"E 33° 14’ 30"""
Ф-18495	Великий Плав	Velykyi Plav	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 32’ 24"""	"E 33° 16’ 12"""
Ф-16826	Біла Гора	Bila Hora	урочище	Полтавська обл.	р-н Хорольський	"N 49° 40’ 22"""	"E 33° 16’ 16"""
Ф-19317	Вовча Долина	Vovcha Dolyna	урочище	Полтавська обл.	р-н Лубенський	"N 50° 2’ 10"""	"E 33° 16’ 2"""
Ф-9611	Крупське	Krupske	урочище	Полтавська обл.	р-н Глобинський	"N 49° 25’ 54"""	"E 33° 16’ 29"""
Ф-30363	Самойлове	Samoilove	урочище	Полтавська обл.	р-н Хорольський	"N 49° 54’ 5"""	"E 33° 16’ 57"""
Ф-32704	Мирський Берег	Myrskyi Bereh	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 31’ 17"""	"E 33° 17’ 17"""
Ф-9062	Вовкове Озеро	Vovkove Ozero	урочище	Полтавська обл.	р-н Лохвицький	"N 50° 17’ 59"""	"E 33° 17’ 19"""
Ф-26345	Лемішине	Lemishyne	урочище	Полтавська обл.	р-н Хорольський	"N 49° 41’ 43"""	"E 33° 17’ 21"""
Ф-6007	Різне	Rizne	озеро	Полтавська обл.	р-н Кременчуцький	"N 49° 7’ 36"""	"E 33° 17’ 40"""
Ф-3640	Затон	Zaton	озеро	Полтавська обл.		"N 49° 40’ 1"""	"E 33° 17’ 41"""
Ф-27059	Рудка	Rudka	балка	Полтавська обл.	р-н Лохвицький	"N 50° 16’ 44"""	"E 33° 18’ 10"""
Ф-3641	Гниле	Hnyle	озеро	Полтавська обл.		"N 49° 42’ 2"""	"E 33° 18’ 11"""
Ф-6006	Солонувате	Solonuvate	озеро	Полтавська обл.	р-н Кременчуцький	"N 49° 8’ 52"""	"E 33° 18’ 30"""
Ф-21505	Дубина	Dubyna	урочище	Полтавська обл.	р-н Хорольський	"N 49° 41’ 33"""	"E 33° 18’ 41"""
